Time [s],Proposed_system,Standard
0.0,1,1
1.0,1,1
2.0,1,1
3.0,2,2
4.0,2,2
5.0,2,2
6.0,3,3
7.0,3,3
8.0,3,3
9.0,4,4
10.0,4,4
11.0,4,4
12.0,5,5
13.0,5,5
14.0,5,5
15.0,5,5
16.0,5,5
17.0,5,5
18.0,5,5
19.0,5,5
20.0,5,5
21.0,5,5
22.0,5,5
23.0,5,5
24.0,5,5
25.0,6,6
26.0,8,8
27.0,9,9
28.0,11,11
29.0,12,12
30.0,14,14
31.0,14,14
32.0,15,15
33.0,15,15
34.0,15,15
35.0,15,15
36.0,15,15
37.0,15,15
38.0,15,15
39.0,16,16
40.0,16,16
41.0,16,16
42.0,17,17
43.0,17,17
44.0,18,17
45.0,18,18
46.0,20,20
47.0,20,20
48.0,21,21
49.0,23,23
50.0,23,23
51.0,25,25
52.0,28,28
53.0,30,30
54.0,30,30
55.0,32,32
56.0,33,32
57.0,34,33
58.0,36,34
59.0,36,35
60.0,36,35
61.0,37,36
62.0,37,36
63.0,38,36
64.0,39,38
65.0,40,39
66.0,40,39
67.0,40,39
68.0,41,40
69.0,41,41
70.0,41,41
71.0,42,41
72.0,42,41
73.0,43,42
74.0,44,42
75.0,43,42
76.0,43,42
77.0,43,42
78.0,43,44
79.0,44,43
80.0,44,43
81.0,44,43
82.0,44,43
83.0,42,43
84.0,42,43
85.0,42,41
86.0,42,41
87.0,41,42
88.0,40,42
89.0,40,42
90.0,39,41
91.0,39,42
92.0,41,43
93.0,42,43
94.0,42,45
95.0,43,44
96.0,42,44
97.0,44,46
98.0,43,46
99.0,45,47
100.0,45,47
101.0,45,47
102.0,44,49
103.0,44,49
104.0,45,50
105.0,46,50
106.0,47,51
107.0,47,52
108.0,47,52
109.0,47,52
110.0,48,53
111.0,49,54
112.0,49,53
113.0,50,54
114.0,50,54
115.0,50,54
116.0,51,56
117.0,52,57
118.0,52,57
119.0,52,57
120.0,53,58
121.0,53,59
122.0,54,60
123.0,55,62
124.0,56,63
125.0,56,64
126.0,56,65
127.0,55,65
128.0,54,64
129.0,54,66
130.0,54,66
131.0,53,66
132.0,54,65
133.0,54,65
134.0,53,66
135.0,54,66
136.0,54,65
137.0,53,66
138.0,52,66
139.0,54,68
140.0,53,67
141.0,52,69
142.0,54,70
143.0,54,72
144.0,54,72
145.0,55,74
146.0,56,74
147.0,55,74
148.0,57,76
149.0,57,76
150.0,58,75
151.0,59,76
152.0,59,77
153.0,60,77
154.0,61,77
155.0,60,77
156.0,60,75
157.0,60,75
158.0,60,75
159.0,60,75
160.0,60,74
161.0,60,75
162.0,60,74
163.0,61,74
164.0,61,75
165.0,60,75
166.0,61,75
167.0,61,75
168.0,61,75
169.0,61,75
170.0,62,77
171.0,64,78
172.0,63,78
173.0,64,79
174.0,65,79
175.0,67,80
176.0,66,81
177.0,67,81
178.0,67,82
179.0,68,82
180.0,68,83
181.0,68,83
182.0,68,83
183.0,69,84
184.0,70,84
185.0,70,85
186.0,70,85
187.0,70,85
188.0,70,85
189.0,71,85
190.0,70,85
191.0,69,84
192.0,68,84
193.0,68,83
194.0,72,87
195.0,71,87
196.0,70,87
197.0,71,89
198.0,71,91
199.0,70,90
200.0,72,92
201.0,72,92
202.0,72,92
203.0,73,94
204.0,74,94
205.0,73,94
206.0,74,96
207.0,73,96
208.0,74,97
209.0,74,96
210.0,74,96
211.0,74,96
212.0,73,95
213.0,73,96
214.0,74,95
215.0,73,95
216.0,72,95
217.0,72,95
218.0,73,96
219.0,73,96
220.0,73,97
221.0,71,97
222.0,69,96
223.0,69,97
224.0,68,96
225.0,67,96
226.0,65,95
227.0,64,95
228.0,63,94
229.0,63,94
230.0,62,93
231.0,62,93
232.0,62,92
233.0,62,92
234.0,61,92
235.0,61,93
236.0,61,93
237.0,61,92
238.0,60,91
239.0,59,90
240.0,59,89
241.0,60,89
242.0,60,88
243.0,59,88
244.0,59,88
245.0,59,89
246.0,58,89
247.0,59,90
248.0,59,91
249.0,59,91
250.0,59,91
251.0,59,92
252.0,59,92
253.0,59,93
254.0,60,94
255.0,60,94
256.0,60,94
257.0,61,95
258.0,61,95
259.0,61,94
260.0,59,94
261.0,59,94
262.0,58,94
263.0,57,93
264.0,56,93
265.0,56,93
266.0,55,92
267.0,52,92
268.0,51,92
269.0,51,92
270.0,50,91
271.0,50,91
272.0,49,91
273.0,49,90
274.0,50,91
275.0,49,91
276.0,49,91
277.0,49,90
278.0,49,89
279.0,49,88
280.0,49,88
281.0,49,87
282.0,49,86
